Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
F,Dopamine D1 receptor,8.236572006437063,305.41799999999995,3.3994000000000026,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,8.694648630553376,397.2120000000001,3.016200000000002,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,7.16304326294045,263.337,2.3732000000000006,3.0,4.0,75.71000000000001,3.0,1.0
F,Dopamine D1 receptor,7.424812155072339,329.43999999999994,3.225500000000003,2.0,4.0,52.93000000000001,3.0,4.0
F,Dopamine D1 receptor,6.187086643357144,331.45599999999996,3.7783000000000038,2.0,4.0,52.93000000000001,3.0,5.0
F,Dopamine D1 receptor,6.413412695328245,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,8.67778070526608,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,8.455931955649724,287.315,2.1172000000000004,4.0,5.0,95.94000000000001,3.0,2.0
F,Dopamine D1 receptor,7.785156151952302,251.32599999999996,2.085,3.0,4.0,75.71000000000001,2.0,1.0
B,Dopamine D1 receptor,7.853871964321762,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
B,Dopamine D1 receptor,8.522878745280337,329.44,3.2553000000000027,3.0,4.0,75.71000000000001,6.0,2.0
B,Dopamine D1 receptor,7.229147988357855,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
B,Dopamine D1 receptor,8.045757490560675,315.438,3.6617000000000033,3.0,4.0,52.489999999999995,4.0,2.0
B,Dopamine D1 receptor,5.769551078621726,351.89899999999994,4.083500000000005,3.0,4.0,52.489999999999995,4.0,2.0
B,Dopamine D1 receptor,7.0,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,6.7447274948966935,324.4240000000001,3.3853000000000018,3.0,4.0,65.38000000000001,4.0,3.0
F,Dopamine D1 receptor,7.200659450546418,322.4080000000002,2.921500000000001,3.0,4.0,65.38,5.0,0.0
F,Dopamine D1 receptor,6.494850021680094,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
F,Dopamine D1 receptor,6.096910013008056,286.30600000000004,2.1818,3.0,4.0,65.38,4.0,0.0
F,Dopamine D1 receptor,8.173925197299173,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
F,Dopamine D1 receptor,8.065501548756432,310.397,2.9952000000000014,3.0,4.0,65.38000000000001,4.0,2.0
F,Dopamine D1 receptor,7.853871964321762,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
F,Dopamine D1 receptor,8.045757490560675,315.438,3.6617000000000033,3.0,4.0,52.489999999999995,4.0,2.0
F,Dopamine D1 receptor,7.638272163982407,282.343,2.3511200000000008,3.0,4.0,65.38000000000001,4.0,0.0
F,Dopamine D1 receptor,6.638272163982407,282.343,2.3511200000000008,3.0,4.0,65.38000000000001,4.0,0.0
F,Dopamine D1 receptor,7.7447274948966935,286.30600000000004,2.1818,3.0,4.0,65.38,4.0,0.0
F,Dopamine D1 receptor,8.05551732784983,298.342,2.0513,3.0,5.0,74.61,4.0,1.0
F,Dopamine D1 receptor,6.958607314841775,282.34299999999996,2.35112,3.0,4.0,65.38000000000001,4.0,0.0
F,Dopamine D1 receptor,7.42021640338319,268.31600000000003,2.042699999999999,3.0,4.0,65.38,4.0,0.0
